Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,106.8,-90.1,0,top
C2,10uF,C_0805_2012Metric,106.8,-83.5,0,top
C3,100n,C_0603_1608Metric,106.9,-81.4,0,top
C4,1u,C_0805_2012Metric,97.3,-77.3,-90,top
D1,RED,LED_0805_2012Metric,113.3,-93.8,180,top
D2,100V/3A,D_SOD-123F,96.2,-85.8,-90,top
D3,BLUE,LED_0805_2012Metric,115.5,-70.0375,-90,top
J2,CAN,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,96.5,-92.95,0,top
J3,USB_C_Receptacle,USB_C_Receptacle_XKB_U262-16XN-4BVC11,115.1,-86.4,90,top
R1,220,R_0805_2012Metric,109.4,-93.8,0,top
R2,10k,R_0805_2012Metric,97.3,-73.2,90,top
R3,10k,R_0805_2012Metric,97.3,-69.5,-90,top
R4,120,R_0805_2012Metric,100.9,-89,180,top
R5,220,R_0805_2012Metric,115.6,-73.9,90,top
U1,ESP32-C3-MINI-1,ESP32-C3-MINI-1_HandSoldering,106.3,-72.95,0,top
U2,AP2112K-3.3,SOT-23-5,106.8,-86.8,90,top
U3,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,101,-84,-90,top
